ambito,region,mesas_pendientes,electores_pendientes,fp_proyectados,jp_proyectados,margen_proyectado,p_fp_proyectado
PERU,LIMA,915,270766,128384.04715440399,72610.23316720549,55773.813987198504,0.638744778950812
EXTRANJERO,AMERICA,529,258942,46095.07270821595,25356.292462487218,20738.780245728733,0.6451251504865029
PERU,LORETO,108,28673,6071.793360103745,7686.931282959845,-1615.1379228561,0.44130495504645606
PERU,CUSCO,93,25844,3748.372986062578,12667.172344111568,-8918.79935804899,0.22834288539732678
EXTRANJERO,EUROPA,87,41749,6665.012869279863,5310.698798062173,1354.3140712176892,0.5565441999956849
PERU,CALLAO,69,20227,9434.675145658786,5061.22769355348,4373.447452105306,0.6508511577586901
PERU,PIURA,57,16788,6941.0776275700755,4670.363199400386,2270.714428169689,0.5977791844271122
PERU,ANCASH,45,12729,3510.870020807537,4704.345526342681,-1193.4755055351443,0.42736188730013597
PERU,UCAYALI,43,12158,3555.9221610135014,3210.5342724344605,345.3878885790409,0.5255220654988421
PERU,LA LIBERTAD,37,10845,4709.432049911714,2812.666110926261,1896.765938985453,0.6260795790236104
PERU,JUNIN,32,9175,2778.8669539037974,3246.068680231924,-467.2017263281268,0.46122765829388424
EXTRANJERO,ASIA,32,14419,2460.0360605304477,492.37458724781465,1967.661473282633,0.8332296397798407
PERU,AREQUIPA,26,7478,1950.4866671710981,3547.1070042359283,-1596.6203370648302,0.3547891648150672
PERU,CAJAMARCA,25,7137,1630.4193000728185,2736.8032773765676,-1106.3839773037491,0.37333093772038556
PERU,PUNO,24,6953,898.1061579788771,4391.159094604916,-3493.0529366260394,0.16979790483000534
PERU,ICA,22,6479,2712.2543208679936,2249.2342692007765,463.0200516672171,0.5466614044617605
PERU,HUANUCO,20,5545,1242.869124403805,2133.724252928025,-890.8551285242202,0.3680837416632958
PERU,AYACUCHO,15,4048,641.5827052984347,2102.9681015106257,-1461.3853962121912,0.23376601508221592
PERU,SAN MARTIN,14,3994,1205.5272497363978,1464.2473989578307,-258.72014922143285,0.45154644431357316
PERU,PASCO,14,3970,993.5149170775318,1413.085757733371,-419.57084065583933,0.4128291525371556
PERU,TACNA,13,3859,953.091353894903,2021.7520428161943,-1068.6606889212912,0.32038370656707976
PERU,LAMBAYEQUE,13,3883,1680.6999313698648,1096.4889164524086,584.2110149174562,0.605180282460007
PERU,HUANCAVELICA,11,2942,309.9371949211763,1432.3004761465868,-1122.3632812254104,0.17789604717433613
PERU,APURIMAC,10,2673,315.76163216316917,1431.544341771311,-1115.7827096081419,0.18071341646715475
PERU,MADRE DE DIOS,5,1395,297.2138544551581,618.487659067897,-321.27380461273884,0.3245750389902299
PERU,AMAZONAS,3,694,145.57751933893474,253.5840037411454,-108.00648440221067,0.3647082970713308
PERU,MOQUEGUA,2,588,133.62301992519912,308.197672230838,-174.5746523056389,0.30243721558882464
PERU,TUMBES,2,590,305.83796218165185,103.8038858148843,202.03407636676755,0.7465984339183968
EXTRANJERO,AFRICA,1,59,9.776053415880645,6.148983432482163,3.6270699833984814,0.6138794847991629
EXTRANJERO,OCEANIA,1,467,78.80917320315801,46.07291993077391,32.736253272384104,0.631068644234188
